title,author,source,description,content,pub date,url,pic url
Who Won the Debate? Internet Roundup From Campaign Experts,Maggie Astor,"{'id': 'the-new-york-times', 'name': 'The New York Times'}","Kamala Harris, Pete Buttigieg, Amy Klobuchar and Cory Booker stood out at the fifth Democratic primary debate in Atlanta.","Twitter cant tell us whether, or how, Wednesdays MSNBC/Washington Post debate will change voters minds. But it can give us the perspectives of some of the people with expertise on primary races: veteran campaign strategists, consultants and advocates from bot… [+5190 chars]",2019-11-21T10:00:18Z,https://www.nytimes.com/2019/11/21/us/politics/who-won-debate.html,https://static01.nyt.com/newsgraphics/images/icons/defaultPromoCrop.png
Rosario Dawson Joins Her Love on the ‘Lead With Love’ Tour,Nick Corasaniti,"{'id': 'the-new-york-times', 'name': 'The New York Times'}","The actress went shopping for vegan snacks — and votes — in Iowa with her boyfriend, the presidential candidate Cory Booker.","Her scheduled arrival in Iowa so excited Mr. Booker that it took a special plea from Ira Lit, his college roommate who is volunteering in Iowa for the campaign, to get the senator to agree that after 15 hours of campaigning he needed to go to his hotel, showe… [+1620 chars]",2019-12-08T22:06:36Z,https://www.nytimes.com/2019/12/08/us/politics/rosario-dawson-cory-booker-iowa.html,https://static01.nyt.com/images/2019/12/08/us/politics/08rosario-01/08rosario-01-facebookJumbo.jpg
Cory Booker’s Silver Lining Tour of Iowa,Nick Corasaniti,"{'id': 'the-new-york-times', 'name': 'The New York Times'}",Who needs a debate stage when you can raise $1.4 million in 36 hours?,"A lot of people have been with Cory and have been supporting him for two decades, and hes only 50 years old, said Whitney Tilson, a longtime fan who said Mr. Booker would surprise everybody in Iowa because of his high favorability ratings people who like him … [+1617 chars]",2019-12-11T23:13:51Z,https://www.nytimes.com/2019/12/11/us/politics/cory-booker-iowa-2020.html,https://static01.nyt.com/images/2019/12/11/us/politics/11booker-1/11booker-1-facebookJumbo.jpg
Do Democrats Really Want an All-White Field in 2020? Cory Booker Hopes Not.,"Nick Corasaniti, Jennifer Medina and Lisa Lerer","{'id': 'the-new-york-times', 'name': 'The New York Times'}","As the party reckons with the likelihood of an all-white candidate line up for the December debate, Mr. Booker and Julián Castro see fund-raising gains.","Our process has resulted in more women and candidates of color participating in our primary debates than billionaires, said Xochitl Hinojosa, a committee spokeswoman. No one who has failed to reach 4 percent at this point in the race has ever gone on to be th… [+1657 chars]",2019-12-05T18:20:56Z,https://www.nytimes.com/2019/12/05/us/politics/cory-booker-democrats-2020.html,https://static01.nyt.com/images/2019/12/05/us/politics/05demsreckoning1/05demsreckoning1-facebookJumbo.jpg
Black Voters to Black Candidates: Representation Is Not Enough,Astead W. Herndon,"{'id': 'the-new-york-times', 'name': 'The New York Times'}","Joe Biden leads with black voters, and Elizabeth Warren and Bernie Sanders are making better inroads with younger ones than Kamala Harris and Cory Booker. In interviews, voters rejected the idea that racial representation equated to change.","His son Ali Shakur, 27, said his guiding principle was simple: He wanted to support the candidate most committed to fundamental change.
Mr. Sanders and Ms. Warren tried to flex that young support after the debate. Mr. Sanders held a rally at Morehouse Colleg… [+1489 chars]",2019-11-25T13:38:53Z,https://www.nytimes.com/2019/11/25/us/politics/2020-election-black-voters.html,https://static01.nyt.com/images/2019/11/23/us/politics/23representation-02/23representation-02-facebookJumbo.jpg
Cory Booker Bets $100 Billion on Historically Black Colleges and Universities,Nick Corasaniti,"{'id': 'the-new-york-times', 'name': 'The New York Times'}","The senator from New Jersey, whose campaign for president is struggling, unveiled a plan that comes months after plans for the schools from most of the top-tier candidates.","Indeed, discussion about the many ways the Democratic candidates have proposed to bolster H.B.C.U.s has become a central topic in the Democratic presidential primary. 
Ms. Harris, a graduate of Howard University, an H.B.C.U. in Washington, proposed $70 billi… [+1607 chars]",2019-12-03T12:25:39Z,https://www.nytimes.com/2019/12/03/us/politics/cory-booker-hbcu-plan.html,https://static01.nyt.com/images/2019/12/03/us/politics/03bookerhbcu/03bookerhbcu-facebookJumbo.jpg
2020 candidate caught off guard by ad about himself,,"{'id': 'cnn', 'name': 'CNN'}",Sen. Cory Booker (D-NJ) reacts to a super PAC TV advertisement about himself after seeing it for the first time while speaking to CNN's Jim Acosta live on air.,Chat with us in Facebook Messenger. Find out what's happening in the world as it unfolds.,2019-11-29T23:09:18Z,https://www.cnn.com/videos/politics/2019/11/29/cory-booker-super-pac-ad-tsr-acosta-vpx.cnn,https://cdn.cnn.com/cnnnext/dam/assets/191129180047-cory-booker-sit-room-11-29-2019-super-tease.jpg
Cory Booker Leads the Charge to Change Debate Rules That Excluded Him,Reid J. Epstein,"{'id': 'the-new-york-times', 'name': 'The New York Times'}",Nine presidential candidates have signed a letter urging the D.N.C. to adjust its qualification criteria for January and February.,"The D.N.C. will not change the threshold for any one candidate and will not revert to two consecutive nights with more than a dozen candidates, Ms. Hinojosa said. Our qualification criteria is extremely low and reflects where we are in the race.
Mr. Booker f… [+1532 chars]",2019-12-14T21:57:02Z,https://www.nytimes.com/2019/12/14/us/politics/democrats-2020-debates.html,https://static01.nyt.com/images/2019/12/14/us/14debates/14debates-facebookJumbo.jpg
How to Watch Tonight's Democratic Presidential Debate,Josh Ocampo,"{'id': None, 'name': 'Lifehacker.com'}","Once again, it’s time for another Democratic presidential debate in the 2020 race. This round, we’ll witness just 10 candidates take the stage in Atlanta, Georgia, representing a slowly dwindling pool of qualifying presidential hopefuls (though it remains to …","Once again, its time for another Democratic presidential debate in the 2020 race. This round, well witness just 10 candidates take the stage in Atlanta, Georgia, representing a slowly dwindling pool of qualifying presidential hopefuls (though it remains to be… [+1164 chars]",2019-11-20T14:30:00Z,https://lifehacker.com/how-to-watch-tonights-democratic-presidential-debate-1839942390,"https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/vxwtzuekrnr0n4sus40s.jpg"
What $30 Million Gets in TV Ads,Nick Corasaniti,"{'id': 'the-new-york-times', 'name': 'The New York Times'}",Michael Bloomberg made a splashy entrance into the 2020 race — and you’ll see one of his ads soon.,"Senator Cory Booker after he lost a round of Pac-Man Battle Royale.Credit...Elizabeth Frantz for The New York Times
Google and Twitter just restricted political advertising on their platforms. Facebook has signaled theyre weighing similar changes.
As the tr… [+1366 chars]",2019-11-27T15:12:09Z,https://www.nytimes.com/2019/11/26/us/politics/what-30-million-gets-in-tv-ads.html,https://static01.nyt.com/images/2019/11/27/multimedia/26onpolitics-PM/26onpolitics-PM-facebookJumbo.jpg
How to Watch Tonight's Democratic Presidential Debate,Josh Ocampo,"{'id': None, 'name': 'Lifehacker.com'}","After several candidates threatened to boycott tonight’s round over a local labor dispute, it’s official: The final Democratic presidential debate of 2019 is back on. And in a first for the debates so far, we will witness just seven candidates on stage at Loy…","After several candidates threatened to boycott tonights round over a local labor dispute, its official: The final Democratic presidential debate of 2019 is back on. And in a first for the debates so far, we will witness just seven candidates on stage at Loyol… [+1332 chars]",2019-12-19T14:15:00Z,https://lifehacker.com/how-to-watch-tonights-democratic-presidential-debate-1840490748,"https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/gspwk6jgcvat1xcl6i6e.jpg"
Why Not Cory Booker?,Mary Harris,"{'id': None, 'name': 'Slate.com'}","He’s been lefty, he’s been bipartisan, he’s been market-friendly. But he hasn’t been a Democratic frontrunner.","Senator Cory Booker still hasnt made the cut for the next Democratic debate, despite having all the moderate bona fides that a suburban voter could want. Why has Booker failed to pop up in the polls?
Guest: Slates Jordan Weissmann. Read his piece, Dear Moder… [+125 chars]",2019-12-03T10:00:02Z,https://slate.com/podcasts/what-next/2019/12/dear-moderate-democrats-consider-cory-booker,https://compote.slate.com/images/4b1e87b4-afc6-4132-a728-cf38d8c67260.jpeg?width=780&height=520&rect=1560x1040&offset=0x0
Cory Booker says he thought Joe Biden was 'high' when he said marijuana shouldn't be legalized,Eliza Relman,"{'id': 'business-insider', 'name': 'Business Insider'}","Sen. Cory Booker went after former Vice President Joe Biden during the fifth Democratic debate on Wednesday night over Biden's opposition to legalizing marijuana. ""This week I hear him literally say that I don't think we should legalize marijuana — I thought …","Sen. Cory Booker went after former Vice President Joe Biden during the fifth Democratic debate on Wednesday night over Biden's opposition to legalizing marijuana. 
""I have a lot respect for the vice president — he swore me into my office, he's a hero,"" Booke… [+1506 chars]",2019-11-21T04:07:51Z,https://www.businessinsider.com/booker-thought-biden-was-high-saying-marijuana-shouldnt-be-legalized-2019-11,https://image.businessinsider.com/5dd6089ffd9db20b4f0b2c93?width=1200&format=jpeg
"As Candidates Jostle for Position, a Long Race May Become a Marathon",Jonathan Martin,"{'id': 'the-new-york-times', 'name': 'The New York Times'}","In a volatile primary with no true front-runner, Democrats face the prospect of a monthslong delegate battle that would also feature a lengthy public airing of the party’s ideological fissures.","Mr. Buttigieg emerged atop the field in the survey, but he is now under attack on multiple fronts.
Ms. Warren is assailing him for not being more transparent about his donors, Mr. Sanders is targeting him for not offering a more expansive free college propos… [+1439 chars]",2019-12-07T10:00:14Z,https://www.nytimes.com/2019/12/07/us/politics/democrats-2020.html,https://static01.nyt.com/images/2019/12/07/us/politics/07dems2020-1/07dems2020-1-facebookJumbo.jpg
Rampage in Jersey City Leaves Officer and 5 Others Dead,James Barron and Michael Gold,"{'id': 'the-new-york-times', 'name': 'The New York Times'}",The shooting began outside a cemetery and ended at a kosher market where three bystanders were slain. There was “no indication of terrorism.”,"On Tuesday, one of the officers who exchanged fire with the suspects was Joseph Kerik, the 34-year-old son of the former New York City police commissioner, Bernard Kerik.
Mr. Kerik said that his son is a Newark police detective who went to the shooting with … [+1579 chars]",2019-12-11T01:46:21Z,https://www.nytimes.com/2019/12/10/nyregion/new-jersey-police-shooting.html,https://static01.nyt.com/images/2019/12/10/nyregion/10njshot1/10njshot1-facebookJumbo.jpg
The Best and Worst Moments From Last Night's Democratic Debate,Josh Ocampo,"{'id': None, 'name': 'Lifehacker.com'}","Capping off a long day of impeachment hearing testimonies, last night’s Democratic debate featured 10 presidential hopefuls debating over issues of sufficient paid family leave, women’s reproductive rights and Roe v. Wade, and the U.S.’ role in ongoing protes…","Capping off a long day of impeachment hearing testimonies, last nights Democratic debate featured 10 presidential hopefuls debating over issues of sufficient paid family leave, womens reproductive rights and Roe v. Wade, and the U.S. role in ongoing protests … [+5378 chars]",2019-11-21T18:00:00Z,https://lifehacker.com/the-best-and-worst-moments-from-last-nights-democratic-1839972613,"https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/u5bhneupqvaxlbagcr4e.jpg"
"Cory Booker is widely liked by 2020 Democratic voters, but only 3% of voters support him as their first choice",Mack DeGeurin and Walt Hickey,"{'id': 'business-insider', 'name': 'Business Insider'}","Sen. Cory Booker 's 2020 presidential campaign is struggling to take off despite being widely liked. Since he first announced his campaign in February, Booker has attempted to position himself as the "" love candidate."" Booker is widely liked amongst supporter…","New Jersey Sen. Cory Booker's floundering 2020 presidential bid shows how simply being likable may not be enough to win an election.
According to Insider polling, 59% of Democratic voters know who Booker is and 34% of them say they would be satisfied with hi… [+5605 chars]",2019-11-19T15:59:06Z,https://www.businessinsider.com/cory-booker-widely-liked-democratic-voters-unlikely-to-win-2019-11,https://image.businessinsider.com/5dd31e8d7eece5558a48ee33?width=1200&format=jpeg
How Cory Booker Blew It,Peter Beinart,"{'id': None, 'name': 'Theatlantic.com'}","The Democratic field has room for a moderate who isn’t Joe Biden. But by backing away from his own record, a promising New Jersey centrist took himself out of contention.","Near the end of the latest Democratic debate, Cory Booker did something unusual for a presidential candidate: He admitted his campaign was in trouble. “I have not yet qualified for the December stage,” the New Jersey senator confessed, “If you believe in my v… [+11776 chars]",2019-11-27T11:00:00Z,https://www.theatlantic.com/ideas/archive/2019/11/how-cory-booker-blew-it/602716/,https://cdn.theatlantic.com/assets/media/img/mt/2019/11/AP_19325076636379/facebook.jpg?1574825971
Trevor Noah Detects Some Tension Between Trump and France’s President,Trish Bendix,"{'id': 'the-new-york-times', 'name': 'The New York Times'}","At one point, Trump suggested he might send captured ISIS fighters to France — “the one gift that’s worse than a Peloton,” Noah said.","And what a turn this relationship has taken. I mean, just last year Trump and Macron were giving each other friendship trees, remember that? And now Trump is offering to send him ISIS. TREVOR NOAH
Its pretty dark that Trump would offer to send ISIS fighters … [+1965 chars]",2019-12-04T10:04:50Z,https://www.nytimes.com/2019/12/04/arts/television/trevor-noah-trump-macron.html,https://static01.nyt.com/images/2019/12/04/arts/04latenight/04latenight-facebookJumbo.png
